body_length,channels,delivery_method,fb_published,has_analytics,has_header,has_logo,name_length,num_order,num_payouts,sale_duration,user_age,venue_latitude,venue_longitude,payee_name_fruad,domain_fruad,venue_state_fruad,venue_country_fruad,venue_address_fraud,user_type_fruad,event_pubtostart,nogts,has_img,percent_caps,name_lessthantwo,percent_exc,has_bar,has_city,has_club,has_dj,has_events,has_live,has_nyc,has_open,has_party,has_place,has_contact,has_group,has_life,has_registration,has_session,has_social,has_training,has_work,has_workshop,has_orgdesc,has_fbkcateg,has_twitteracctnum,has_url,has_prev_payout,org_name_naughty_list,num_of_tickets,total_number_of_tickets_for_sale,total_ticket_costs,number_of_tickets_sold
3852,5,0.0,0,0,1.0,0,60,0,0,29.0,36,25.777471,-80.1334329,1,1,1,1,1,True,28.0,True,True,0.783333333333,False,0.5,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,3,920,36000.0,0
3499,0,1.0,0,0,0.0,1,27,23,1,28.0,149,32.7765656,-79.9309216,0,0,1,1,1,True,28.0,False,False,0.222222222222,False,0.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,1,False,2,100,3500.0,25
2417,11,0.0,1,0,0.0,0,66,30,0,63.0,35,42.3538484,-71.0442764,0,0,1,1,0,True,63.0,False,False,0.106060606061,False,0.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,1,False,8,264,28596.0,39
117,6,0.0,0,0,0.0,1,44,14,3,65.0,299,38.2097967,-84.5588311,0,0,1,1,1,True,65.0,False,False,0.0909090909091,False,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,False,4,1405,12230.0,37
28,5,1.0,0,0,1.0,1,36,12,3,35.0,706,39.4142698,-77.4050893,1,0,1,1,0,True,35.0,False,False,0.0833333333333,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,False,5,1245,160720.75,36
974,12,0.0,0,0,0.0,1,28,6,5,21.0,71,35.580468,-82.563855,1,0,1,1,0,True,21.0,False,False,0.142857142857,False,0.166666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1,False,1,64,896.0,57
4388,4,0.0,1,0,0.0,1,19,12,0,33.0,0,37.7928469,-122.4020819,1,0,1,1,0,True,33.0,False,True,0.157894736842,False,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,1,75,18750.0,14
974,12,0.0,0,0,0.0,1,28,14,9,28.0,71,35.580468,-82.563855,1,0,1,1,0,True,28.0,False,False,0.142857142857,False,0.166666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1,False,1,64,896.0,64
4397,8,1.0,0,0,0.0,1,67,14,25,16.0,729,37.7750214,-122.4194293,0,0,1,1,0,True,15.0,False,False,0.089552238806,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,1,False,2,45,1427.1,33
1679,10,1.0,0,0,0.0,0,47,13,24,27.0,430,0.0,0.0,1,0,1,1,1,True,27.0,False,False,0.148936170213,False,0.0769230769231,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,False,1,30,900.0,21
